doc_id,title,author,source,philosophy,psychology,science,economics,karma,emotion,morality,ideal,individual,community
doc_000101,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan",gutendex,0.11532783,0.0802399,0.052907914,0.045787994,0.106528245,0.11701865,0.10740277,0.14017642,0.13340515,0.10120512
doc_000102,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick",gutendex,0.091721,0.10478348,0.07288581,0.02128863,0.10604068,0.1675658,0.10686325,0.090565,0.13825639,0.100029916
doc_000103,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African: Written By Himself","Equiano, Olaudah",gutendex,0.1073837,0.11708577,0.07257137,0.030291416,0.081394926,0.15298809,0.101467416,0.10543201,0.13100722,0.10037805
doc_000104,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",gutendex,0.08463439,0.059821974,0.02761028,0.08820761,0.07249204,0.13412063,0.15117475,0.09595567,0.16156079,0.124421835
doc_000105,The Treasure of Pearls: A Romance of Adventures in California,"Aimard, Gustave",gutendex,0.14207575,0.095674135,0.12846126,0.04038276,0.06122415,0.15287548,0.07942975,0.14951763,0.10003413,0.050324988
doc_000106,Emily Brontë,"Robinson, A. Mary F. (Agnes Mary Frances)",gutendex,0.1283657,0.08081843,0.1225056,0.030930674,0.11358302,0.07872629,0.08623599,0.08744399,0.14401287,0.12737748
doc_000107,Adventures of Sherlock Holmes: Illustrated,"Doyle, Arthur Conan",gutendex,0.12539764,0.10728933,0.12544887,0.0,0.094581075,0.14442146,0.06434459,0.09830658,0.18113336,0.059077118
doc_000108,The Monk: A Romance,"Lewis, M. G. (Matthew Gregory)",gutendex,0.1455202,0.109630875,0.06199133,0.0039327824,0.050553262,0.15872164,0.12719701,0.12584426,0.14095385,0.07565474
doc_000109,"Modern English biography, volume 1 (of 4), A-H","Boase, Frederic",gutendex,0.10248801,0.116229996,0.10885313,0.03646455,0.09854283,0.12467398,0.06393614,0.08130638,0.15705012,0.110454895
doc_000110,Ulysses,"Joyce, James",gutendex,0.11925671,0.11093243,0.07281664,0.05270273,0.045874022,0.12148408,0.08247158,0.12184123,0.1644009,0.10821965
doc_000111,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan",gutendex,0.1230957,0.08370954,0.13276307,0.0,0.1164969,0.14975937,0.10083416,0.10705781,0.09667291,0.08961057
doc_000112,Four Arthurian Romances,"Chrétien, de Troyes, active 12th century",gutendex,0.114590675,0.10961499,0.08249602,0.028621547,0.077572584,0.20079046,0.08799981,0.09251976,0.11901728,0.08677686
doc_000113,"Thuvia, maid of Mars","Burroughs, Edgar Rice",gutendex,0.13305286,0.06756921,0.09839269,0.052981634,0.09041973,0.108553626,0.13013732,0.10858677,0.12545903,0.08484712
doc_000114,Beyond Good and Evil,"Nietzsche, Friedrich Wilhelm",gutendex,0.13946056,0.056766547,0.10201086,0.023321092,0.14060302,0.082642004,0.22823678,0.07369621,0.09664047,0.056622453
doc_000115,Leviathan,"Hobbes, Thomas",gutendex,0.12542386,0.029062686,0.18638577,0.036071215,0.13115837,0.026713306,0.14290053,0.10498411,0.10835663,0.108943515
doc_000116,I am a woman,"Bannon, Ann",gutendex,0.109123364,0.106229566,0.0706553,0.0,0.075349525,0.12368185,0.099134065,0.0986646,0.21559452,0.10156724
doc_000117,Twenty-Five Ghost Stories,,gutendex,0.12443211,0.12026494,0.0846631,0.0,0.08575791,0.14620182,0.08312407,0.13535109,0.14570451,0.0745005
doc_000118,"Modern English biography, volume 2 (of 4), I-Q","Boase, Frederic",gutendex,0.1122294,0.1188572,0.110026956,0.027095934,0.093283445,0.13050681,0.05154811,0.08735193,0.15535128,0.11374892
doc_000119,"The String of Pearls; Or, The Barber of Fleet Street. A Domestic Romance.","Prest, Thomas Peckett; Rymer, James Malcolm",gutendex,0.12375604,0.08427314,0.050703853,0.07390904,0.0496696,0.1331671,0.11478775,0.113445595,0.13633172,0.119956195
doc_000120,"The Lives of the Twelve Caesars, Complete",Suetonius,gutendex,0.112632036,0.07024317,0.13543393,0.018174298,0.12289517,0.12160006,0.12269555,0.10944881,0.094753265,0.09212374
doc_000121,The Pirate: Andrew Lang Edition,"Scott, Walter",gutendex,0.07014569,0.08470783,0.051052783,0.0,0.11678966,0.17879799,0.07134942,0.11379371,0.20104983,0.112313
doc_000122,The Turn of the Screw,"James, Henry",gutendex,0.111621715,0.070247784,0.10094105,0.0036163128,0.15146399,0.12093278,0.1290242,0.09514042,0.13170283,0.08530894
doc_000123,Gulliver's Travels into Several Remote Nations of the World,"Swift, Jonathan",gutendex,0.14942229,0.057535175,0.12633422,0.0,0.06944584,0.15999582,0.042562947,0.19042753,0.14054897,0.063727155
doc_000124,The Love Letters of Henry VIII to Anne Boleyn; With Notes,"Henry VIII, King of England",gutendex,0.12060035,0.07741521,0.0684826,0.035303686,0.05677782,0.19225168,0.106648564,0.069137566,0.14325899,0.13012356
doc_000125,Blow The Man Down: A Romance Of The Coast,"Day, Holman",gutendex,0.13148808,0.10083025,0.029616939,0.0,0.100963324,0.15835927,0.11317162,0.09900138,0.15736985,0.10919923
doc_000126,The divine comedy,Dante Alighieri,gutendex,0.16432475,0.081180766,0.09297704,0.010873615,0.07373094,0.13519166,0.12269341,0.14331993,0.11816771,0.0575401
doc_000127,The Crack of Doom,"Cromie, Robert",gutendex,0.15576352,0.0,0.19825554,0.0,0.19695793,0.118133165,0.14398853,0.12579599,0.04559412,0.015511203
doc_000128,"The Rover Boys on the Farm; or, Last Days at Putnam Hall","Stratemeyer, Edward",gutendex,0.16412093,0.017805459,0.146512,0.007849592,0.13609172,0.07002504,0.102468975,0.087502085,0.123620726,0.14400342
doc_000129,Metamorphosis,"Kafka, Franz",gutendex,0.13622399,0.105308294,0.064844094,0.0,0.13666119,0.13180363,0.065577015,0.15319498,0.17262073,0.033766087
doc_000130,"The Hero of the People: A Historical Romance of Love, Liberty and Loyalty","Dumas, Alexandre",gutendex,0.107040875,0.07404965,0.045859046,0.059531696,0.082605526,0.115958795,0.1289186,0.08134992,0.173762,0.13092387
